projectTableID,project,principalInvestigator,dbgContact,PIemail,occurrenceTableID,occurrenceID,recordedBy,eventDate,scientificName,identifiedBy,dateIdentified,associatedTaxa,reproductiveCondition,occurrenceRemarks,habitat,country,stateProvince,county,locality,locationRemarks,locationID,decimalLatitude,decimalLongitude,minimumElevationInMeters,permitURI,materialSampleTableID,materialSampleID,materialSampleType,materialSample_catalogNumber,materialSample_recordNumber,storageLocation,disposition,numberCollected,numberAvailable,sourcePlantCount,preparationDate,dateStored,preservedSpecimenTableID,catalogNumber,recordNumber
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,158,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2018,133,ab7862b2-87c2-11ee-b9d1-0242ac120002,seed,3113-5502-7467,,ecology lab freezer,in collection,64,64,1,2018-09-20,2018-09-30,133,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,159,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2019,134,ab7865f0-87c2-11ee-b9d1-0242ac120002,seed,3113-5503-7468,,ecology lab freezer,in collection,201,201,1,2018-09-20,2018-09-30,134,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,160,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2020,135,ab786730-87c2-11ee-b9d1-0242ac120002,seed,3113-5504-7469,,ecology lab freezer,gone,88,0,1,2018-09-20,2018-09-30,135,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,161,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2021,136,ab786b22-87c2-11ee-b9d1-0242ac120002,seed,3113-5505-7470,,ecology lab freezer,in collection,272,272,1,2018-09-20,2018-09-30,136,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,162,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2022,137,ab786d7a-87c2-11ee-b9d1-0242ac120002,seed,3113-5506-7471,,ecology lab freezer,in collection,154,154,1,2018-09-20,2018-09-30,137,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,163,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2023,138,ab786f96-87c2-11ee-b9d1-0242ac120002,seed,3113-5507-7472,,ecology lab freezer,in collection,120,120,1,2018-09-20,2018-09-30,138,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,164,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2024,139,ab7871b2-87c2-11ee-b9d1-0242ac120002,seed,3113-5508-7473,,ecology lab freezer,in collection,2,2,1,2018-09-20,2018-09-30,139,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,165,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2025,140,ab7872ca-87c2-11ee-b9d1-0242ac120002,seed,3113-5509-7474,,ecology lab freezer,in collection,190,190,1,2018-09-20,2018-09-30,140,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,166,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2026,141,ab787496-87c2-11ee-b9d1-0242ac120002,seed,3113-5510-7475,,ecology lab freezer,in collection,31,31,1,2018-09-20,2018-09-30,141,KHD00067933,AS66
8,Alpine Seed Conservation,Alexandra Seglias,Alexandra Seglias,alexandra.seglias@botanicgardens.org,167,,Alexandra Seglias,2018-09-12,Castilleja puberula,,2018-09-12,,fruit,Seeds from population collected. Ex situ Seed Conservation,"alpine meadows. Along trail; soil: silt, medium; terrain: hill/saddle; disturbance: trail; slope: 20 degrees; slope aspect: NE",United States of America,Colorado,Boulder,"Arapaho National Forest. Brainard Lake Rd. to Mitchell Creek parking lot. Beaver Creek Trail towards Mt. Audubon. Species is locally abundant at about 1.5 miles, just above treeline on both sides of trail.",Landownder: USFS,Mt. Audubon,40.09732,-105.58577,2900,USFS_ArapahoNF_ASeglias_2027,142,ab7875a4-87c2-11ee-b9d1-0242ac120002,seed,3113-5511-7476,,ecology lab freezer,in collection,109,109,1,2018-09-20,2018-09-30,142,KHD00067933,AS66
